name property WF d_band_center eg_band_center U_band_center p_band_center PE IE EA d_band_filling eg_band_filling T2g_band_filling d_dos_EF p_band_filling bader_charge aver_bader site_Od iso_corr
Ru100cuscusMOH 0.6868 6.9349 -1.4029 -1.4534 1.7851 -3.2835 2.2000 7.3610 1.0460 5.9705 2.5161 3.4540 3.3955 4.7102 14.2366 14.1344 3.8036 4.3953
Ru101cuscusMOH 0.6000 6.6084 -1.3445 -3.3168 1.9824 -3.6008 2.2000 7.3610 1.0460 5.9822 2.1674 3.8149 1.2655 4.7245 14.2521 14.1245 3.3089 3.8812
Ru111cuscusMOH 0.6371 6.0518 -2.2909 -2.7290 0.9672 -3.5017 2.2000 7.3610 1.0460 5.9054 1.5857 4.3206 1.0044 4.6654 14.1757 14.1757 4.1575 1.9829
Ti100cuscusRuOH 0.6400 7.4603 -2.6023 -2.6135 0.6463 -3.5049 2.2000 7.3610 1.0460 5.6642 2.5372 3.1269 3.3671 4.6999 14.0996 11.9917 3.7910 4.1833
Ti101cuscusRuOH 0.6101 6.9670 -1.8291 -3.5471 1.6523 -3.4632 2.2000 7.3610 1.0460 5.7792 2.1684 3.6111 1.7518 4.7421 14.0757 11.9876 3.5253 4.2702
Ti110bricusRuOH 0.6525 7.0295 -1.2086 -0.5782 1.8894 -3.6157 2.2000 7.3610 1.0460 6.1544 1.4475 4.7058 2.1380 4.7771 14.2697 13.0563 3.7785 3.5490
Ti110cuscusMOH 0.4982 6.8942 1.4661 -4.4252 2.9496 -4.0311 1.5400 6.8280 0.0750 2.0326 0.9120 1.1206 0.2356 4.8264 9.8241 13.0815 3.7827 3.7673
Ti111bricusRuOH 0.5910 5.8033 -2.4986 -3.0243 0.7391 -3.3390 2.2000 7.3610 1.0460 5.7870 1.5346 4.2527 2.3011 4.6969 14.0261 14.0261 4.1360 1.9819
Ti111cuscusMOH 0.4401 5.7999 -3.3081 -3.8011 0.3887 -3.3002 1.5400 6.8280 0.0750 2.1066 0.9066 1.2002 0.3438 4.6810 9.8606 9.8606 4.2173 1.9213
W100cuscusMOH 0.3398 6.8005 -0.8631 -0.8075 2.3553 -4.4862 2.3600 7.8640 0.8160 3.1926 1.3679 1.8248 0.0915 4.7236 11.6573 12.8845 3.7552 3.9315
W101cuscusMOH 0.3557 6.6189 -4.1564 -4.2700 1.0926 -4.5768 2.3600 7.8640 0.8160 3.2397 1.2592 1.9803 0.2630 4.7397 11.6570 12.8532 3.4527 4.0196
W110bricusRuOH 0.5904 6.8108 -1.1194 -0.5020 1.9277 -3.9147 2.2000 7.3610 1.0460 6.2537 1.3909 4.8630 1.7315 4.7727 14.3524 13.5689 3.6845 3.4473
W110cuscusMOH 0.5400 6.7782 -1.3110 -6.5100 1.7712 -4.2569 2.3600 7.8640 0.8160 3.2220 1.0099 2.2124 0.5732 4.7635 11.6655 13.5774 3.7648 3.3121
W110cuscusRuOH 0.6219 6.9730 -1.1443 -0.6194 1.6769 -4.4237 2.2000 7.3610 1.0460 6.2831 1.4049 4.8781 2.0440 4.7796 14.4356 13.6139 3.8560 3.9012
W111bricusRuOH 0.5164 5.6401 -2.2075 -2.9235 0.6756 -4.0123 2.2000 7.3610 1.0460 5.9808 1.4605 4.5199 2.5930 4.6660 14.2323 14.2323 4.0993 1.9332
W111cuscusMOH -0.0248 6.3286 -4.7840 -5.3052 0.4712 -3.8188 2.3600 7.8640 0.8160 3.2294 1.0507 2.1786 0.1707 4.6826 11.6152 11.6152 4.2245 1.8061
Zn110bricusRuOH 0.6932 7.0093 -1.2856 -4.9335 1.8782 -3.9096 2.2000 7.3610 1.0460 6.0777 1.4871 4.5906 1.7180 4.7646 14.2455 13.2087 3.8426 3.6241
Zn110cuscusMOH 0.4887 6.9626 -5.2986 -5.2006 0.4385 -3.4557 1.6500 9.3940 -0.6000 9.8927 3.9175 5.9766 0.0561 4.7897 10.6520 13.2416 3.8396 4.0717
Zn110cuscusRuOH 0.6530 7.8780 -1.4755 -0.6507 1.9381 -3.6238 2.2000 7.3610 1.0460 5.8807 1.4926 4.3874 1.4465 4.7264 14.1528 13.2270 3.7147 3.4382
Zn111cuscusMOH 0.3915 5.4554 -5.8427 -5.7476 0.3804 -3.2215 1.6500 9.3940 -0.6000 9.8526 3.8846 5.9670 0.0609 4.6239 10.6092 10.6092 4.0903 1.8878
